BusinessEntityID,NationalIDNumber,LoginID,OrganizationNode,OrganizationLevel,JobTitle,BirthDate,MaritalStatus,Gender,HireDate,SalariedFlag,VacationHours,SickLeaveHours,CurrentFlag,rowguid,ModifiedDate
1,295847284,adventure-works\ken0,NA,NA,Chief Executive Officer,29-01-69,S,M,14-01-09,1,99,69,1,F01251E5-96A3-448D-981E-0F99D789110D,29-06-14 22:00
2,245797967,adventure-works\terri0,/1/,1,Vice President of Engineering,01-08-71,S,F,31-01-08,1,1,20,1,45E8F437-670D-4409-93CB-F9424A40D6EE,29-06-14 22:00
3,509647174,adventure-works\roberto0,/1/1/,2,Engineering Manager,12-11-74,M,M,11-11-07,1,2,21,1,9BBBFB2C-EFBB-4217-9AB7-F97689328841,29-06-14 22:00
4,112457891,adventure-works\rob0,/1/1/1/,3,Senior Tool Designer,23-12-74,S,M,05-12-07,0,48,80,1,59747955-87B8-443F-8ED4-F8AD3AFDF3A9,29-06-14 22:00
5,695256908,adventure-works\gail0,/1/1/2/,3,Design Engineer,27-09-52,M,F,06-01-08,1,5,22,1,EC84AE09-F9B8-4A15-B4A9-6CCBAB919B08,29-06-14 22:00
6,998320692,adventure-works\jossef0,/1/1/3/,3,Design Engineer,11-03-59,M,M,24-01-08,1,6,23,1,E39056F1-9CD5-478D-8945-14ACA7FBDCDD,29-06-14 22:00
7,134969118,adventure-works\dylan0,/1/1/4/,3,Research and Development Manager,24-02-87,M,M,08-02-09,1,61,50,1,4F46DECA-EF01-41FD-9829-0ADAB368E431,29-06-14 22:00
8,811994146,adventure-works\diane1,/1/1/4/1/,4,Research and Development Engineer,05-06-86,S,F,29-12-08,1,62,51,1,31112635-663B-4018-B4A2-A685C0BF48A4,29-06-14 22:00
9,658797903,adventure-works\gigi0,/1/1/4/2/,4,Research and Development Engineer,21-01-79,M,F,16-01-09,1,63,51,1,50B6CDC6-7570-47EF-9570-48A64B5F2ECF,29-06-14 22:00
10,879342154,adventure-works\michael6,/1/1/4/3/,4,Research and Development Manager,30-11-84,M,M,03-05-09,1,16,64,1,EAA43680-5571-40CB-AB1A-3BF68F04459E,29-06-14 22:00
11,974026903,adventure-works\ovidiu0,/1/1/5/,3,Senior Tool Designer,17-01-78,S,M,05-12-10,0,7,23,1,F68C7C19-FAC1-438C-9BB7-AC33FCC341C3,29-06-14 22:00
12,480168528,adventure-works\thierry0,/1/1/5/1/,4,Tool Designer,29-07-59,M,M,11-12-07,0,9,24,1,1D955171-E773-4FAD-8382-40FD898D5D4D,29-06-14 22:00
13,486228782,adventure-works\janice0,/1/1/5/2/,4,Tool Designer,28-05-89,M,F,23-12-10,0,8,24,1,954B91B6-5AA7-48C2-8685-6E11C6E5C49A,29-06-14 22:00
14,42487730,adventure-works\michael8,/1/1/6/,3,Senior Design Engineer,16-06-79,S,M,30-12-10,1,3,21,1,46286CA4-46DD-4DDB-9128-85B67E98D1A9,29-06-14 22:00
15,56920285,adventure-works\sharon0,/1/1/7/,3,Design Engineer,02-05-61,M,F,18-01-11,1,4,22,1,54F2FDC0-87C4-4065-A7A8-9AC8EA624235,29-06-14 22:00
16,24756624,adventure-works\david0,/2/,1,Marketing Manager,19-03-75,S,M,20-12-07,1,40,40,1,E87029AA-2CBA-4C03-B948-D83AF0313E28,29-06-14 22:00
17,253022876,adventure-works\kevin0,/2/1/,2,Marketing Assistant,03-05-87,S,M,26-01-07,0,42,41,1,1B480240-95C0-410F-A717-EB29943C8886,29-06-14 22:00
18,222969461,adventure-works\john5,/2/2/,2,Marketing Specialist,06-03-78,S,M,07-02-11,0,48,44,1,64730415-1F58-4E5B-8FA8-5E4DAEBA53B4,29-06-14 22:00
