Employee_ID,Employee_Name,Street_ID,Street_Number,Street_Name,City,State,Postal_Code,Country
121044,"Abbott, Ray",9260116912,2267,Edwards Mill Rd,Miami-Dade,FL,33135,US
120145,"Aisbitt, Sandy",1600101803,30,Bingera Street,Melbourne,,2001,AU
120761,"Akinfolarin, Tameaka",9260121030,5,Donnybrook Rd,Philadelphia,PA,19145,US
120656,"Amos, Salley",9260123736,3524,Calico Ct,San Diego,CA,92116,US
121107,"Anger, Rose",9260120989,744,Chapwith Rd,Philadelphia,PA,19142,US
121038,"Anstey, David",9260116991,939,Hilltop Needmore Rd,Miami-Dade,FL,33157,US
120273,"Antonini, Doris",9260116925,681,Ferguson Rd,Miami-Dade,FL,33141,US
120759,"Apr, Nishan",9260123711,105,Brack Penny Rd,San Diego,CA,92071,US
120798,"Ardskin, Elizabeth",9260116954,701,Glenridge Dr,Miami-Dade,FL,33177,US
121030,"Areu, Jeryl",9260116937,265,Fyfe Ct,Miami-Dade,Fl,33133,US
121017,"Arizmendi, Gilbert",9260123825,379,Englehardt Dr,San Diego,CA,91950,US
121062,"Armant, Debra",9260123787,10398,Crown Forest Ct,San Diego,CA,92025,US
121119,"Armogida, Bruce",9260121159,1914,Lansing St,Philadelphia,PA,19119,US
120812,"Arruza, Fauver",9260116937,265,Fyfe Ct,Miami-Dade,FL,33133,US
120756,"Asta, Wendy",9260121146,3565,Lake Park Dr,Philadelphia,PA,19145,US
120754,"Atkins, John",9260116816,6137,Blue Water Ct,Miami-Dade,FL,33161,US
120185,"Bahlman, Sharon",1600103028,24,LaTrobe Street,Sydney,,2165,AU
120109,"Baker, Gabriele",1600103074,166,Toorak Road,Sydney,,2119,AU
120710,"Baltzell, Timothy",9260120981,31,Castalia Dr,Philadelphia,PA,19140,US
120114,"Buddery, Jeannette",1600103023,12,Hunua Road Papakura,Sydney,,1004,AU
