employee_id,employee_name,employee_contact,address,diet,region_code,gender
e_37,"Aggrey, Kiera",034-876-2195,112 Lopez Drive,1,6,0
e_25,"Aguilar, Louise",067-452-2176,8 Robinson Blvd,1,3,0
e_102,"Armijo, Jordyn",031-418-6479,27 Anderson Drive,1,8,0
e_54,"Ashlock, Srish",015-891-8725,96 Stuth Ave,4,5,1
e_6,"Bailey, Mela",069-821-7239,237 Johnson Street,3,5,0
e_14,"Barba-Franco, Simone",073-342-4396,57 Blanco Street,2,6,0
e_22,"Barnes, Ryan",082-253-2793,67 Best Street,1,4,1
e_49,"Behan, Tobby",073-421-8256,195 al-Hasen Blvd,4,1,1
e_67,"Bellot, Kyrstin",075-726-5978,209 Machado Ave,2,6,0
e_83,"Benjamin, Cecily",079-478-5914,220 al-Rashed Street,3,3,0
e_80,"Betancourt, Olivia",021-296-7814,52 al-Rassi Street,3,1,0
e_56,"Blake-Villalovas, Gabriel",019-163-6523,223 el-Habibi Street,2,8,1
e_114,"Burbank, Arshawana",013-829-3489,88 Smith Blvd,1,6,1
e_26,"Caprara, Tanya",015-472-7149,153 al-Bashara Drive,4,4,0
e_64,"Cardona Rocha, Tucker",068-317-2794,4 Hergett Street,1,4,1
e_63,"Castro Chavez, Zac",023-829-7325,26 Robinson Ave,2,4,1
e_47,"Chaney, Isa",069-289-3518,182 Caster Ave,1,4,0
e_119,"Cheadle, Elvin",023-915-2196,56 Poirot Ave,4,4,1
e_70,"Chhoeun, Li",067-572-4815,190 Merriweather Ave,2,3,1
e_98,"Chong, Seungwani",017-852-6128,150 Mcmillion Drive,2,6,0
e_34,"Christy, Manuel",095-413-9236,286 Villarreal Street,2,1,1
e_17,"Clark, Wanda",035-347-6978,288 al-Pashia Drive,2,3,0
e_103,"Cordova, Simone",046-586-5348,199 Haddock Blvd,4,5,0
e_1,"Corral, Nin",014-962-6478,239 Glatz Drive,1,6,1
e_50,"Cruz, Deri",034-412-7163,39 Reynoso Drive,1,8,0
e_9,"Davila, Christa",059-852-5896,149 Xiong Blvd,1,2,0
e_12,"Davis-Cawthorn, Kizmaya",023-437-3158,97 Shirley Drive,2,3,1
e_72,"Dethouars, Marisa",064-182-7216,287 al-Usman Drive,3,1,0
e_30,"Domingo, Henrietta",023-429-3957,155 Roche Street,3,4,0
e_99,"Donovan, Jasmine",059-243-5726,103 Mack Drive,4,5,0
e_39,"Duran, Ken",072-185-6923,114 al-Yousef Street,2,6,1
e_101,"Eschino, Mitchell",015-956-2618,219 Casillas-Bustos Blvd,3,8,0
e_45,"Fahey, Clovisa",071-514-7265,278 Moore Blvd,1,5,0
