Employee_ID,Employee_Job_Title,Employee_Annual_Salary,Employee_Gender,Employee_Birth_Date,Employee_Hire_Date,Employee_Termination_Date,Manager_for_Employee,SSN,Employee_Name
120121,Sales Rep. II,26600,F,1948/08/02,1978/01/01,,120102,42-8321-982,"Elvish, Irenie"
120134,Sales Rep. II,28015,M,1953/06/06,1978/01/01,2010/06/30,120102,905-76-7767,"Shannan, Sian"
120151,Sales Rep. II,26520,F,1948/11/21,1978/01/01,,120103,798-16-4924,"Phaiyakounh, Julianna"
120154,Sales Rep. III,30490,F,1948/07/20,1978/01/01,,120102,534-14-1428,"Hayawardhana, Caterina"
120166,Sales Rep. IV,30660,M,1948/06/14,1978/01/01,2010/08/31,120102,878-79-9390,"Nowd, Fadi"
120172,Sales Rep. III,28345,M,1948/04/01,1978/01/01,,120102,801-5A-3640,"Comber, Edwin"
120174,Sales Rep. I,26850,F,1948/01/10,1978/01/01,2009/10/30,120102,693-17-9406,"Simms, Doungkamol"
121018,Sales Rep. II,27560,F,1948/01/03,1978/01/01,2007/04/30,121144,712-79-3016,"Magolan, Julienne"
121035,Sales Rep. II,26460,M,1948/03/25,1978/01/01,,121144,305-03-6563,"Blackley, James"
121041,Sales Rep. II,26120,F,1948/02/04,1978/01/01,,121144,114-96-2569,"Wetherington, Jaime"
121060,Sales Rep. III,28800,F,1948/06/08,1978/01/01,,121143,749-47-4742,"Spofford, Elizabeth"
121066,Sales Rep. II,27250,F,1948/08/23,1978/01/01,2009/10/31,121145,915-59-7961,"Norman, Ceresh"
121073,Sales Rep. I,27100,M,1953/05/15,1978/01/01,,121145,219-68-2436abc,"Court, Donald"
121075,Sales Rep. II,28395,F,1948/12/23,1978/01/01,,121145,161-74-5004,"Sugg, Kasha"
121086,Sales Rep. I,26820,M,1948/12/16,1978/01/01,,121143,248-50-7517,"Plybon, John-Michael"
121138,Sales Rep. I,27265,M,1953/02/28,1978/01/01,,121145,424-44-6422,"Tolley, Hershell"
120167,Sales Rep. I,25185,F,1958/05/04,1978/02/01,2010/03/31,120102,139-34-1780,"Tilley, Kimiko"
121053,Sales Rep. III,29955,F,1948/09/23,1978/02/01,,121143,973-70-5198,"Mcdade, Tywanna"
